country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","15-04-2026 11:00:00","28.493624 ","77.201159 ",CO,28,107,53
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","15-04-2026 11:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","15-04-2026 11:00:00",22.06631475,83.33820077,NO2,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","15-04-2026 11:00:00",22.06631475,83.33820077,NH3,1,2,2
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-04-2026 11:00:00",28.815329,77.153010,PM2.5,33,423,194
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-04-2026 11:00:00",28.815329,77.153010,NO2,18,83,49
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","15-04-2026 11:00:00",28.580280,77.233829,SO2,10,57,28
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","15-04-2026 11:00:00",28.580280,77.233829,CO,6,117,28
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","15-04-2026 11:00:00",28.611281,77.237738,PM10,83,410,176
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","15-04-2026 11:00:00",28.611281,77.237738,NH3,11,18,13
India,Delhi,Delhi,"Mundka, Delhi - DPCC","15-04-2026 11:00:00",28.684678,77.076574,NH3,3,11,6
India,Delhi,Delhi,"Mundka, Delhi - DPCC","15-04-2026 11:00:00",28.684678,77.076574,CO,42,102,68
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","15-04-2026 11:00:00",28.5512005,77.2735737,PM10,87,430,242
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","15-04-2026 11:00:00",28.5512005,77.2735737,CO,43,157,122
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-04-2026 11:00:00","28.615828 ","77.271992 ",PM10,108,357,205
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-04-2026 11:00:00",28.7500499,77.1112615,NH3,6,11,8
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-04-2026 11:00:00",28.7500499,77.1112615,CO,15,60,53
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","15-04-2026 11:00:00",28.732820,77.170633,CO,12,139,58
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","15-04-2026 11:00:00",28.732820,77.170633,OZONE,5,88,26
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","15-04-2026 11:00:00",28.580280,77.233829,PM2.5,48,392,190
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","15-04-2026 11:00:00",28.6811736,77.3025234,OZONE,11,131,23
India,Delhi,Delhi,"ITO, Delhi - CPCB","15-04-2026 11:00:00",28.628624,77.241060,NO2,34,89,58
India,Delhi,Delhi,"ITO, Delhi - CPCB","15-04-2026 11:00:00",28.628624,77.241060,NH3,3,6,5
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","15-04-2026 11:00:00",28.6811736,77.3025234,NH3,5,8,6
India,Delhi,Delhi,"JNU, Delhi - DPCC","15-04-2026 11:00:00","28.540721 ","77.168544 ",CO,40,115,90
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","15-04-2026 11:00:00",28.674045,77.131023,CO,40,104,100
India,Delhi,Delhi,"Pusa, Delhi - DPCC","15-04-2026 11:00:00",28.639652,77.146275,PM2.5,38,359,126
India,Delhi,Delhi,"Pusa, Delhi - DPCC","15-04-2026 11:00:00",28.639652,77.146275,OZONE,3,55,13
India,Delhi,Delhi,"Pusa, Delhi - IMD","15-04-2026 11:00:00",28.636110,77.173332,PM2.5,28,341,115
India,Delhi,Delhi,"Pusa, Delhi - IMD","15-04-2026 11:00:00",28.636110,77.173332,PM10,86,378,177
India,Delhi,Delhi,"Pusa, Delhi - IMD","15-04-2026 11:00:00",28.636110,77.173332,OZONE,10,246,246
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","15-04-2026 11:00:00",28.563262,77.186937,NO2,10,125,67
India,Delhi,Delhi,"Rohini, Delhi - DPCC","15-04-2026 11:00:00",28.732528,77.119920,PM2.5,38,500,250
India,Delhi,Delhi,"Rohini, Delhi - DPCC","15-04-2026 11:00:00",28.732528,77.119920,PM10,109,476,270
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","15-04-2026 11:00:00",28.531346,77.190156,NO2,5,84,44
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","15-04-2026 11:00:00",28.621810,77.1944633,PM2.5,16,380,151
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","15-04-2026 11:00:00",28.621810,77.1944633,NH3,1,8,4
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","15-04-2026 11:00:00",28.621810,77.1944633,CO,34,104,80
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","15-04-2026 11:00:00",28.672342,77.315260,CO,38,119,58
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","15-04-2026 11:00:00",28.699793,77.165453,PM10,159,463,306
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","15-04-2026 11:00:00",28.699793,77.165453,NO2,54,175,118
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","15-04-2026 11:00:00",28.699793,77.165453,NH3,7,10,8
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","15-04-2026 11:00:00",28.699793,77.165453,SO2,8,64,23
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","15-04-2026 11:00:00",23.107969,72.574648,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","15-04-2026 11:00:00",22.977134,72.553024,PM2.5,44,121,69
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","15-04-2026 11:00:00",22.977134,72.553024,CO,38,67,51
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","15-04-2026 11:00:00",23.002657,72.591912,PM10,77,141,109
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","15-04-2026 11:00:00",28.60909,77.0325413,OZONE,14,180,32
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","15-04-2026 11:00:00","28.594004 ","76.909423 ",NH3,1,4,2
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-04-2026 11:00:00",28.570173,76.933762,PM10,NA,NA,NA
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-04-2026 11:00:00",28.570173,76.933762,SO2,NA,NA,NA
India,Delhi,Delhi,"Narela, Delhi - DPCC","15-04-2026 11:00:00",28.822836,77.101981,CO,7,76,33
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","15-04-2026 11:00:00",28.623763,77.287209,CO,42,141,81
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","15-04-2026 11:00:00",28.623763,77.287209,OZONE,3,88,22
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","15-04-2026 11:00:00",28.674045,77.131023,PM10,91,433,217
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","15-04-2026 11:00:00",28.674045,77.131023,NO2,14,95,56
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","15-04-2026 11:00:00",28.674045,77.131023,SO2,25,83,47
India,Delhi,Delhi,"Rohini, Delhi - DPCC","15-04-2026 11:00:00",28.732528,77.119920,SO2,10,114,34
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","15-04-2026 11:00:00",28.6514781,77.1473105,PM10,101,500,246
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","15-04-2026 11:00:00",28.6514781,77.1473105,NO2,39,128,69
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","15-04-2026 11:00:00",28.5504249,77.2159377,NH3,7,17,14
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","15-04-2026 11:00:00",23.002657,72.591912,SO2,42,104,83
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","15-04-2026 11:00:00",23.041137,72.456691,PM2.5,46,146,84
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","15-04-2026 11:00:00",28.567890,77.250515,PM10,108,401,226
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","15-04-2026 11:00:00",28.567890,77.250515,SO2,2,116,34
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","15-04-2026 11:00:00",28.530785,77.271255,SO2,9,49,28
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","15-04-2026 11:00:00",30.379589,76.778328,NO2,9,12,10
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","15-04-2026 11:00:00",30.379589,76.778328,OZONE,13,23,19
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","15-04-2026 11:00:00",28.6701,76.9254,PM10,71,107,98
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","15-04-2026 11:00:00",28.6701,76.9254,NO2,12,14,13
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","15-04-2026 11:00:00",28.6701,76.9254,CO,37,50,46
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","15-04-2026 11:00:00",28.3419248,77.319699,PM2.5,58,303,189
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","15-04-2026 11:00:00",28.3419248,77.319699,CO,14,116,44
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","15-04-2026 11:00:00",28.806223,76.141105,OZONE,2,14,8
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","15-04-2026 11:00:00",23.076793,72.627874,NO2,14,76,31
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","15-04-2026 11:00:00",23.076793,72.627874,NH3,1,3,2
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","15-04-2026 11:00:00",23.076793,72.627874,CO,4,46,15
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","15-04-2026 11:00:00",21.613267,73.010555,SO2,24,27,26
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","15-04-2026 11:00:00",21.613267,73.010555,OZONE,10,33,13
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","15-04-2026 11:00:00",21.755417,72.139056,PM2.5,35,56,45
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","15-04-2026 11:00:00",21.755417,72.139056,NH3,3,4,3
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","15-04-2026 11:00:00",21.755417,72.139056,CO,106,110,108
